v1,v2,v3,v4,v5,v6_1,v6_2,v6_3,v7_1,v7_2,v7_3,v7_4,v7_5,v7_6,v7_7,v7_8,v8,v9_1,v9_2,v10_1,v10_2,v10_3,v10_4,v10_5,v10_6,v10_7,v10_8,v10_9,v10_10,v10_11,v10_12,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22_1,v22_2,v22_3,v22_4,v22_5,v22_6,v23,v24,v25,v26,v27_1,v27_2,v27_3,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38
5,2,1,1,1,99,99,99,1,3,99,99,99,99,99,99,990,0,30,98,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9,9,9,2,4,99,99,99,99,1,1,3,9,99,99,99,2,2,1,3,2,15,730,15,1,2,2
8,1,2,1,1,99,99,99,1,3,99,99,99,99,99,99,1250,2,0,98,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9,9,9,3,99,99,99,99,99,8,8,8,9,99,99,99,1,2,8,6,2,2,237,2,2,1,8
7,2,1,1,1,99,99,99,2,99,99,99,99,99,99,99,199,99,98,98,99,99,99,99,99,99,99,99,99,99,99,9,9,9,9,9,9,9,9,9,9,9,5,99,99,99,99,99,3,2,4,9,99,99,99,1,2,2,4,2,8,357,9,1,2,8
6,2,1,1,1,99,99,99,1,3,99,99,99,99,99,99,499,0,20,3,99,99,99,99,99,99,99,99,99,99,99,9,9,3,9,9,9,9,9,9,9,9,5,99,99,99,99,99,2,2,2,9,99,99,99,2,1,2,5,2,2,236,2,1,1,2
6,1,1,1,1,99,99,99,1,4,5,6,99,99,99,99,450,1,0,4,99,99,99,99,99,99,99,99,99,99,99,9,9,9,3,9,9,9,9,9,9,9,2,3,99,99,99,99,2,2,3,9,99,99,99,2,1,2,6,2,1,108,1,2,1,2
6,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,1390,2,0,2,99,99,99,99,99,99,99,99,99,99,99,9,4,9,9,9,9,9,9,9,9,9,2,5,99,99,99,99,2,2,3,9,99,99,99,1,2,1,4,2,19,973,19,1,1,1
6,2,1,1,1,99,99,99,1,3,99,99,99,99,99,99,730,3,0,4,99,99,99,99,99,99,99,99,99,99,99,9,9,9,8,9,9,9,9,9,9,9,2,99,99,99,99,99,1,8,3,9,99,99,99,2,1,2,4,2,9,433,9,1,1,8
8,1,1,1,1,99,99,99,2,3,99,99,99,99,99,99,299,0,10,1,2,99,99,99,99,99,99,99,99,99,99,3,3,9,9,9,9,9,9,9,9,9,97,99,99,99,99,99,2,2,4,9,99,99,99,2,2,8,2,2,10,998,10,2,1,4
8,1,1,1,1,99,99,99,1,5,99,99,99,99,99,99,200,0,30,1,8,99,99,99,99,99,99,99,99,99,99,8,9,9,9,9,9,9,8,9,9,9,97,99,99,99,99,99,3,2,2,9,99,99,99,2,2,8,2,2,5,330,5,1,1,8
7,1,2,1,1,99,99,99,1,3,5,99,99,99,99,99,499,0,30,1,2,99,99,99,99,99,99,99,99,99,99,4,4,9,9,9,9,9,9,9,9,9,97,99,99,99,99,99,2,2,3,9,99,99,99,1,1,1,3,2,9,408,9,1,1,1
6,2,1,1,1,99,99,99,2,8,99,99,99,99,99,99,200,1,0,1,4,99,99,99,99,99,99,99,99,99,99,8,9,9,8,9,9,9,9,9,9,9,5,99,99,99,99,99,3,2,3,9,99,99,99,2,2,2,4,2,13,622,14,1,2,4
7,2,1,1,1,99,99,99,1,99,99,99,99,99,99,99,1000,2,0,1,3,99,99,99,99,99,99,99,99,99,99,4,9,4,9,9,9,9,9,9,9,9,5,99,99,99,99,99,2,2,3,9,99,99,99,2,2,2,4,1,14,600,14,1,1,1
7,1,1,1,1,99,99,99,1,99,99,99,99,99,99,99,332,0,30,1,2,9,99,99,99,99,99,99,99,99,99,4,3,9,9,9,9,9,9,4,9,9,4,99,99,99,99,99,4,2,4,9,99,99,99,2,2,2,3,2,16,831,16,1,2,2
7,2,2,1,1,99,99,99,2,3,4,8,99,99,99,99,200,1,0,3,6,8,99,99,99,99,99,99,99,99,99,9,9,3,9,9,3,9,4,9,9,9,2,99,99,99,99,99,3,2,4,9,99,99,99,1,1,1,6,2,16,806,16,2,1,3
